_id,YEAR,SECTION,CATEGORY,SUBTYPE,COUNT_
60,2018,Gross Operating Budget,Feature (%),Salaries & Benefits,0.884
61,2018,Gross Operating Budget,Feature (%),Materials,0.016
62,2018,Gross Operating Budget,Feature (%),Equipment,0.002
63,2018,Gross Operating Budget,Feature (%),Services & Rents,0.098
64,2019,Gross Operating Budget,Budget,Gross Operating Budget ($),1201940000
65,2019,Gross Operating Budget,Budget,Absolute Change ($),65113300
66,2019,Gross Operating Budget,Budget,% Change,0.057
67,2019,Gross Operating Budget,Appropriation (%),Corporate Support,0.104
68,2019,Gross Operating Budget,Appropriation (%),Human Resources,0.058
69,2019,Gross Operating Budget,Appropriation (%),Priority Response,0.381
70,2019,Gross Operating Budget,Appropriation (%),Communities & Neighbourhoods,0.275
71,2019,Gross Operating Budget,Appropriation (%),Specialized Operations,0.167
72,2019,Gross Operating Budget,Appropriation (%),Chief,0.015
73,2019,Gross Operating Budget,Feature (%),Salaries & Benefits,0.874
74,2019,Gross Operating Budget,Feature (%),Materials,0.017
75,2019,Gross Operating Budget,Feature (%),Equipment,0.004
76,2019,Gross Operating Budget,Feature (%),Services & Rents,0.105
77,2020,Gross Operating Budget,Budget,Gross Operating Budget ($),1221215700
78,2020,Gross Operating Budget,Budget,Absolute Change ($),19275700
79,2020,Gross Operating Budget,Budget,% Change,0.016
80,2020,Gross Operating Budget,Appropriation (%),Corporate Support,0.052
81,2020,Gross Operating Budget,Appropriation (%),Information Technology,0.052
82,2020,Gross Operating Budget,Appropriation (%),Human Resources,0.057
83,2020,Gross Operating Budget,Appropriation (%),Priority Response,0.399
84,2020,Gross Operating Budget,Appropriation (%),Communities & Neighbourhoods,0.259
85,2020,Gross Operating Budget,Appropriation (%),Specialized Operations,0.167
86,2020,Gross Operating Budget,Appropriation (%),Chief,0.014
87,2020,Gross Operating Budget,Feature (%),Salaries & Benefits,0.89
88,2020,Gross Operating Budget,Feature (%),Materials,0.017
89,2020,Gross Operating Budget,Feature (%),Equipment,0.004
90,2020,Gross Operating Budget,Feature (%),Services & Rents,0.089
91,2021,Gross Operating Budget,Budget,Gross Operating Budget ($),1220001200
92,2021,Gross Operating Budget,Budget,Absolute Change ($),-1214500
93,2021,Gross Operating Budget,Budget,% Change,-0.000994501
94,2021,Gross Operating Budget,Appropriation (%),Corporate Support,0.066
95,2021,Gross Operating Budget,Appropriation (%),Information Technology,0.084
96,2021,Gross Operating Budget,Appropriation (%),Human Resources,0.004
97,2021,Gross Operating Budget,Appropriation (%),Community Safety Command,0.582
98,2021,Gross Operating Budget,Appropriation (%),Specialized Operations,0.24
99,2021,Gross Operating Budget,Appropriation (%),Chief,0.024
100,2021,Gross Operating Budget,Feature (%),Salaries & Benefits,0.9
101,2021,Gross Operating Budget,Feature (%),Materials,0.018
102,2021,Gross Operating Budget,Feature (%),Equipment,0.004
103,2021,Gross Operating Budget,Feature (%),Services & Rents,0.078
104,2022,Gross Operating Budget,Budget,Gross Operating Budget ($),1262428200
105,2022,Gross Operating Budget,Budget,Absolute Change ($),42427000
106,2022,Gross Operating Budget,Budget,% Change,0.03361
107,2022,Gross Operating Budget,Appropriation (%),Corporate Support,0.066
108,2022,Gross Operating Budget,Appropriation (%),Information Technology,0.09
109,2022,Gross Operating Budget,Appropriation (%),Human Resources,0
110,2022,Gross Operating Budget,Appropriation (%),Community Safety Command,0.583
111,2022,Gross Operating Budget,Appropriation (%),Specialized Operations,0.242
112,2022,Gross Operating Budget,Appropriation (%),Chief,0.019
113,2022,Gross Operating Budget,Feature (%),Salaries & Benefits,0.9
114,2022,Gross Operating Budget,Feature (%),Materials,0.017
115,2022,Gross Operating Budget,Feature (%),Equipment,0.006
116,2022,Gross Operating Budget,Feature (%),Services & Rents,0.077
117,2023,Gross Operating Budget,Budget,Gross Operating Budget ($),1330625700
118,2023,Gross Operating Budget,Budget,Absolute Change ($),68197500
119,2023,Gross Operating Budget,Budget,% Change,0.05402
120,2023,Gross Operating Budget,Appropriation (%),Corporate Support,0.079
121,2023,Gross Operating Budget,Appropriation (%),Information Technology,0.087
122,2023,Gross Operating Budget,Appropriation (%),Human Resources,0
123,2023,Gross Operating Budget,Appropriation (%),Community Safety Command,0.574
124,2023,Gross Operating Budget,Appropriation (%),Specialized Operations,0.238
125,2023,Gross Operating Budget,Appropriation (%),Chief,0.022
126,2023,Gross Operating Budget,Feature (%),Salaries & Benefits,0.893
127,2023,Gross Operating Budget,Feature (%),Materials,0.02
128,2023,Gross Operating Budget,Feature (%),Equipment,0.008
129,2023,Gross Operating Budget,Feature (%),Services & Rents,0.079
